"","N","Y"
"ADAIR",0,49
"ANDREW",2,22
"ATCHISON",1,9
"AUDRAIN",1,67
"BARRY",6,81
"BARTON",2,20
"BATES",2,50
"BENTON",1,61
"BOLLINGER",1,32
"BOONE",6,233
"BUCHANAN",2,211
"BUTLER",1,127
"CALDWELL",0,26
"CALLAWAY",2,99
"CAMDEN",0,106
"CAPE GIRARDEAU",19,121
"CARROLL",2,20
"CARTER",1,19
"CASS",6,113
"CEDAR",0,19
"CHARITON",0,10
"CHRISTIAN",1,88
"CLARK",0,13
"CLAY",14,240
"CLINTON",1,26
"COLE",12,114
"COOPER",0,46
"CRAWFORD",3,72
"DADE",3,19
"DALLAS",2,46
"DAVIESS",1,23
"DEKALB",0,16
"DENT",1,44
"DOUGLAS",6,35
"DUNKLIN",6,109
"FRANKLIN",6,175
"GASCONADE",1,31
"GENTRY",0,11
"GREENE",15,544
"GRUNDY",3,25
"HARRISON",0,22
"HENRY",3,59
"HICKORY",0,27
"HOLT",0,15
"HOWARD",0,25
"HOWELL",38,77
"IRON",4,25
"JACKSON",247,1414
"JASPER",2,267
"JEFFERSON",19,297
"JOHNSON",0,77
"KNOX",1,9
"LACLEDE",3,125
"LAFAYETTE",0,67
"LAWRENCE",11,80
"LEWIS",1,36
"LINCOLN",0,126
"LINN",1,24
"LIVINGSTON",1,37
"MACON",1,41
"MADISON",1,47
"MARIES",1,17
"MARION",5,92
"MCDONALD",2,50
"MERCER",0,9
"MILLER",2,75
"MISSISSIPPI",6,39
"MONITEAU",5,23
"MONROE",0,28
"MONTGOMERY",6,19
"MORGAN",18,58
"NEW MADRID",4,49
"NEWTON",0,132
"NODAWAY",0,24
"OREGON",14,21
"OSAGE",1,22
"OZARK",2,24
"PEMISCOT",0,69
"PERRY",0,27
"PETTIS",5,110
"PHELPS",1,90
"PIKE",1,31
"PLATTE",3,73
"POLK",1,70
"PULASKI",7,70
"PUTNAM",1,4
"RALLS",2,27
"RANDOLPH",2,108
"RAY",4,45
"REYNOLDS",3,19
"RIPLEY",1,38
"SALINE",2,82
"SCHUYLER",0,15
"SCOTLAND",0,5
"SCOTT",1,82
"SHANNON",1,21
"SHELBY",2,15
"ST. CHARLES",0,314
"ST. CLAIR",4,30
"ST. FRANCOIS",6,199
"ST. LOUIS",33,1058
"ST. LOUIS CITY",70,900
"STE. GENEVIEVE",0,40
"STODDARD",13,68
"STONE",0,74
"SULLIVAN",2,18
"TANEY",5,129
"TEXAS",0,46
"VERNON",3,44
"WARREN",2,59
"WASHINGTON",7,79
"WAYNE",1,31
"WEBSTER",4,77
"WORTH",0,1
"WRIGHT",3,64
